org,repository,id,creator,updated_date,html_url,issue_url
mozilla,webmaker-core,161052571,"xmatthewx",2015-12-01T18:17:01Z,https://github.com/mozilla/webmaker-core/issues/898#issuecomment-161052571,https://api.github.com/repos/mozilla/webmaker-core/issues/898
mozilla,webmaker-core,159123118,"xmatthewx",2015-11-24T01:30:23Z,https://github.com/mozilla/webmaker-core/issues/871#issuecomment-159123118,https://api.github.com/repos/mozilla/webmaker-core/issues/871
mozilla,webmaker-core,161005818,"xmatthewx",2015-12-01T15:44:36Z,https://github.com/mozilla/webmaker-core/issues/871#issuecomment-161005818,https://api.github.com/repos/mozilla/webmaker-core/issues/871
mozilla,webmaker-core,159095242,"xmatthewx",2015-11-23T23:01:17Z,https://github.com/mozilla/webmaker-core/issues/869#issuecomment-159095242,https://api.github.com/repos/mozilla/webmaker-core/issues/869
mozilla,webmaker-core,159096882,"alanmoo",2015-11-23T23:09:55Z,https://github.com/mozilla/webmaker-core/issues/869#issuecomment-159096882,https://api.github.com/repos/mozilla/webmaker-core/issues/869
mozilla,webmaker-core,159110922,"gvn",2015-11-24T00:13:19Z,https://github.com/mozilla/webmaker-core/issues/869#issuecomment-159110922,https://api.github.com/repos/mozilla/webmaker-core/issues/869
mozilla,webmaker-core,159116239,"xmatthewx",2015-11-24T00:50:27Z,https://github.com/mozilla/webmaker-core/issues/869#issuecomment-159116239,https://api.github.com/repos/mozilla/webmaker-core/issues/869
mozilla,webmaker-core,159463509,"gvn",2015-11-25T02:01:37Z,https://github.com/mozilla/webmaker-core/issues/869#issuecomment-159463509,https://api.github.com/repos/mozilla/webmaker-core/issues/869
mozilla,webmaker-core,159478588,"xmatthewx",2015-11-25T03:36:05Z,https://github.com/mozilla/webmaker-core/issues/869#issuecomment-159478588,https://api.github.com/repos/mozilla/webmaker-core/issues/869
mozilla,webmaker-core,162100254,"xmatthewx",2015-12-04T22:31:11Z,https://github.com/mozilla/webmaker-core/issues/869#issuecomment-162100254,https://api.github.com/repos/mozilla/webmaker-core/issues/869
mozilla,webmaker-core,158577608,"xmatthewx",2015-11-21T02:21:16Z,https://github.com/mozilla/webmaker-core/issues/857#issuecomment-158577608,https://api.github.com/repos/mozilla/webmaker-core/issues/857
mozilla,webmaker-core,158932553,"adamlofting",2015-11-23T13:24:02Z,https://github.com/mozilla/webmaker-core/issues/851#issuecomment-158932553,https://api.github.com/repos/mozilla/webmaker-core/issues/851
mozilla,webmaker-core,159376973,"vazquez",2015-11-24T19:14:28Z,https://github.com/mozilla/webmaker-core/issues/855#issuecomment-159376973,https://api.github.com/repos/mozilla/webmaker-core/issues/855
mozilla,webmaker-core,158219791,"xmatthewx",2015-11-19T22:25:10Z,https://github.com/mozilla/webmaker-core/issues/845#issuecomment-158219791,https://api.github.com/repos/mozilla/webmaker-core/issues/845
mozilla,webmaker-core,158219905,"gvn",2015-11-19T22:25:37Z,https://github.com/mozilla/webmaker-core/issues/844#issuecomment-158219905,https://api.github.com/repos/mozilla/webmaker-core/issues/844
mozilla,webmaker-core,158220206,"gvn",2015-11-19T22:26:53Z,https://github.com/mozilla/webmaker-core/issues/844#issuecomment-158220206,https://api.github.com/repos/mozilla/webmaker-core/issues/844
mozilla,webmaker-core,158220874,"xmatthewx",2015-11-19T22:29:57Z,https://github.com/mozilla/webmaker-core/issues/844#issuecomment-158220874,https://api.github.com/repos/mozilla/webmaker-core/issues/844
mozilla,webmaker-core,162017035,"xmatthewx",2015-12-04T16:47:00Z,https://github.com/mozilla/webmaker-core/issues/844#issuecomment-162017035,https://api.github.com/repos/mozilla/webmaker-core/issues/844
mozilla,webmaker-core,162028912,"gvn",2015-12-04T17:29:19Z,https://github.com/mozilla/webmaker-core/issues/844#issuecomment-162028912,https://api.github.com/repos/mozilla/webmaker-core/issues/844
mozilla,webmaker-core,162029134,"gvn",2015-12-04T17:30:22Z,https://github.com/mozilla/webmaker-core/issues/844#issuecomment-162029134,https://api.github.com/repos/mozilla/webmaker-core/issues/844
mozilla,webmaker-core,158997151,"xmatthewx",2015-11-23T17:04:37Z,https://github.com/mozilla/webmaker-core/issues/840#issuecomment-158997151,https://api.github.com/repos/mozilla/webmaker-core/issues/840
mozilla,webmaker-core,158212295,"alanmoo",2015-11-19T22:02:34Z,https://github.com/mozilla/webmaker-core/issues/839#issuecomment-158212295,https://api.github.com/repos/mozilla/webmaker-core/issues/839
mozilla,webmaker-core,158222038,"xmatthewx",2015-11-19T22:33:39Z,https://github.com/mozilla/webmaker-core/issues/839#issuecomment-158222038,https://api.github.com/repos/mozilla/webmaker-core/issues/839
mozilla,webmaker-core,158072354,"alanmoo",2015-11-19T14:26:11Z,https://github.com/mozilla/webmaker-core/issues/827#issuecomment-158072354,https://api.github.com/repos/mozilla/webmaker-core/issues/827
